post_text,pos
 还能这样陷入情绪里。最好的朋友怀孕了，孕反很严重，几乎每天都在跟我说她的孕反，我每次也都是说熬过去就好了。因为我几乎没有孕反，身边别人也没有，真是不太能感同身受，而且我觉得最终是为了迎接一个新生命，一件好事，是当妈妈就要承受的，所以并不觉得有什么。她就说我不理解当女人的苦，觉得女的就活该这样受罪。然后我翻来覆去的想这件事，突然就陷在这个问题里了，头皮一阵阵发紧，昏沉，大概一瞬间钻进牛角尖惊恐发作了。现在整个人迷迷瞪瞪的，一直在想我会不会困在这个问题里，变成精神病，这到底是焦虑还是精神病呢？,2
吃了两个多月药，躯体症状好久没有过了，结果今天到了一个稍微热点的地方，突然又惊恐发作了，什么情况,3
焦虑疑病太难了！最近几天大便都不成型，擦出来里面还夹杂红色！不知道是痔疮还是肠子出血，还是前两天吃过胡萝卜🥕 吓死了怎么办,2
我的焦虑情绪油然而生. ​,1
如果能习惯焦虑就好了 ​,1
 你们都有啥躯体化症状啊…我躯体化症状可真多啊…刚刚又忍不住哭了…莫名其妙控制不住自己的情绪真的难受…是因为昨晚熬夜的原因吗…,2
一级造价师 浮躁   焦虑    咋整   太闹心了 ​,1
 最近情绪特别不稳定,0
"
我先说说我的情况，三年前治好过焦虑症和躯体化障碍。
住院治疗一个月，后面吃了7个月的药就好了，也停了。我认为除了药物以外，最重要的是我心态改善了，我把注意力从身体的不适转移到游戏、小说、追星等娱乐上，想办法让自己开心。
副作用是饮鸩止渴，我的眼睛出问题了，睑板腺功能障碍，不能再长时间使用电子产品。于是我又开始担心，尤其是最近因为外界刺激导致耳鸣后，我连广播剧都不能听太长了，耳鸣失眠，焦虑不安。

眼下我的治疗手段还是转移注意力，但不能再依托于不健康的方式，我需要锻炼，需要沟通，需要让自己不怕疾病、不怕失眠、不怕焦虑，这些很难，但想活下去就是要面对的。希望能找到搭子一起去改善自己🙋",1
今天拟录取名单出来了找自己名字的时候还是心跳加速的找到自己名字的时候发现也没有那么激动 心情很平静吧复试表现的很差 73比例 相比初试总成绩还落后了好多 当时自己想选的导师也没选上唉 其实就激动这一阵子吧 想到后面还有一关又一关 有点烦 那么我过去近一年半的时间在追逐什么呢 发pyq炫耀的时候 是很骄傲的 接下来又是无尽的焦虑 收起d,1
明天要月考，可我因为身体原因几乎一直在请假，好焦虑啊，害怕自己考不好,1
爸爸妈妈真好跟爸爸畅聊了他今天还一直帮我看调剂的学校 爸爸让我不要放弃一点希望毕竟也努力了一年 也安慰我没考上也没什么这么多人没考上 本来我一个人很愁很焦虑 晚上爸爸回来和他说了很多之后好像一下子就想开了 无论我做什么走哪一步路我想我的家人都会支持我的 就像当时考完试觉得受了天大的委屈就想赶紧回家找妈妈希望爸爸妈妈健健康康在他们面前我永远是孩子我要快快长大报答他们 收起d,0
 整天就是听我妈抱怨她和我爸闹别扭的那些事，有什么问题自己不会去沟通每天拿我当发泄情绪的垃圾桶,0
我也是疑病很严重，全身肉跳，肉眼可见那种，主要我去做肌电图还真的有一段手指肌肉神经源性损伤，又找不出原因，只能先吃甲钴胺，好害怕啊,2
 唉可能要打官司了 真的好害怕啊！,1
失眠➕偏头痛，感觉自己可能要得焦虑症了，前方的路太难了，我选择了一条好像没有尽头和光明的路，现在有些怕了，可是回不了头了 ​,1
好了又开始想之前辅导员对我说的话了，说我老是把别人的事情带到自己身上，说你这个应该是幻想症吧，我说不是，这就是焦虑症，只是代入感很强，现在又开始想自己是不是患有幻想症了，呵呵了，但是确实我都是灾难化的思维，真害怕自己最后会变成什么都不知道的精神病人，还要别人照顾，真的很害怕，有uu懂我吗,3
讨厌换季 讨厌焦虑症 讨厌一个人,3
才下班，晚上接到两个电话，都是说口罩的。一个是在杭州的湖北老乡，说卖去法国的两批口罩，等着上飞机了，证书和测试报告不齐，和他解释了法国政府的最新要求，只要提供你正在申请CE证书就好，希望他安心。现在做口罩出口，是刀口舔血，工厂大部分是假证书，不懂就被坑。二是外甥说他明天要去仙桃看看口罩工厂，想倒卖口罩给学校，在事业单位上班，还是想多挣钱，想趁风口来赚钱，提醒他出口难做，但是内销还是可以试试，先多了解。国人多很勤劳，也焦虑，对未来没有多少安全感，觉得有钱在身边，才能带来最大的安全感。活着的时候，就没怎么好好活，不够坦荡。 2深圳·灵芝园 收起d,0
很高兴，也会有年龄焦虑 2上海·梅陇 ​,1
受不了了一想到寒假又要练车，整个人直接崩溃了，眼泪突然就止不住了流下来，我真的很恐惧焦虑症,1
 请问睡着后会发作吗？最近半个多月睡眠都还不错，今天睡前就有点心慌，现在睡了大概一个小时，突然醒来，然后觉得心慌加剧，胸闷心跳快，恶心想吐，腹痛。,2
丑月，寅年腊月十八今日碰上一负能量爆棚的妇人，因家里有老人病危那种焦虑的情绪，说话没怎么注意，但这种情绪对人的影响是很大的大剂量的葶苈子桑白皮，可能是安慰之剂吧，不是长远的路子可能是救急吧。急则治标，但这个年龄跟病史，难说了最近止嗽散出现率是比较高的，可惜有点回忆不出来当年师兄是怎么说的了不然还能仔细体会其中的奥妙，跟老伙计聊了聊药物的问题其实无论什么路子，高效是其最重要的点，其他的方面只是加加减减寒暑伤形的日子，还是有些难搞的，闻何同学回家了，感觉状态还是不错的又是一年，在家呆呆也是不错，足以用时间治愈时间的伤 2淄博 收起d,0
 想减肥，但是想吃甜食，不吃就坐立不安，怎么办？,0
替我好好看看吧宝宝我先走咯,0
这几年开挂式地前进，让很多人已经不会“休息”了，甚至对“休息”产生了焦虑和罪恶。庚子的肃清覆盖的意象太多了。放慢速度才能好好拐弯，就是一种状态上的肃清。如果之前是忙中偷闲，那么试着让自己学会闲中充实起来也是状态上的一种的觉醒 ​,0
抑郁跳我好焦虑有什么好方法吗 ​,1
昨天下午在课室症状非常严重，感觉快死过去，然后昨天晚上两点睡，今天早上平时秒醒的闹钟，居然叫不醒我，强行迟到,0
富贵月底就要生了                                                         我每天都特别焦虑…一出门就怕她生                            明天带贵贵去拍b超看看有几只                                    大脚这个渣男天天发情还企图和怀孕的贵贵……          贵贵不理他他还企图和大雄弟弟……我太焦虑了… 收起d,1
一闭眼全是烦心事，完全睡不着…,1
"救命啊我真的是要死了要死了要死一样难受，我的心脏跳得很快一整天了砰砰砰砰砰砰砰砰搞得我很不舒服。
身体的强烈反应使我的心里产生很大压力。
加重的焦虑不安的情绪，情绪又反哺，增强了这种生理反应……我简直要疯了，脑子里嗡嗡嗡嗡响的胡思乱想，想法一刻不停。很不安很不安
啊啊啊啊啊啊啊啊啊啊www",1
 有人知道心慌紧张怎么办吗肾上腺素一阵一阵的那种感觉,1
"最近：开心的一点是终于在多次试错之后，发现了自己的胃痛是因为冷的水/饮料。（为了健康，向凉水say no！）能够很快的调节好自己的情绪，好像自己马上度过了青春的叛逆期。不会生不必要的气、和妹妹的矛盾也能很快调节、能更真实的表现自己、、、家庭氛围很好，很好。。发现我们一家人都有搞笑人的天性哈哈哈哈！每日快乐源泉——杰帅，臭屁小孩儿一个。文琴太单纯了，还得学习还得教，慢慢来。霞姐人如其名，我爱暴脾气真性情！希望小孩儿都有快乐童年可能影响太为深刻。这些年面对友谊，总能想起初中班主任说的，朋友能处就处，不能处就算了。回忆以前的cry,lk,ly…都是以一种极为固执的自以为正确的方式去讨厌，冷处理，远离。而后再回忆起就是后悔和切切实实的伤害。还要学习去怎样维持一段友谊，同时也要保持自我。这个春节最让我感触的是关于爱情和婚姻的话题。姑婆家比我大一岁的姐姐带男朋友回去吃饭，咋这么快我才开始享受当小孩儿。cl姐姐今年国庆也要结婚了，lc 哥哥从初中就耍起的女朋友今天也带回去见家长了，gjx姐姐，二孃和姑爷也在考虑为她买房安家的事儿了，救命🆘。。wq 也有女朋友了。。我周围的世界在冒粉红泡泡。。俺的帅哥在哪里。还是在初中的时候去成都参加了wl 姐姐的婚礼💒现在姐姐二胎都要两岁了。她们很幸福，就是那种平淡又透露一些谈恋爱才有的小甜蜜。生儿育女，平淡生活。恋爱，婚姻或许都没有青春期所幻想的那样可怕。现在家很好，珍惜！珍惜现在。今天走人夫，看到了很多小时候见过的小孩儿。其中一个很沉郁。家庭教育，环境，积极心理，现实生活……路漫漫其修远兮。书对我的影响：很大程度上改变了我消极的心态。会更理性的去看待问题而不是更多的情绪化。会想要真实的表达自己，尊重自己拥有的人性。更勇敢的做自己想要做的事。。。自己发现自己的问题也还要一大堆，对未来的不确定焦虑也有，但并不想要去过多的焦虑，更想过好现在，活在当下。2022继续感受变化吧！ 收起d",0
你们有没有心率有时候快，有时候才五十几的人？,0
节前焦虑症犯了我 ​,1
老担心自己会猝死怎么办....这两天休息不好，昨晚睡个五个小时左右起来上班了，总感觉心跳有点大，刚刚上厕所一个起身差点没喘过气来.....会不会是我想多了,1
" 每当我忍不住有点发抖的时候，我就尽量不碰桌子，比如吃饭的时候。
曾经在候诊的时候，见过一个已经抖到不能走路，靠轮椅推进来的患者，每想到这一幕，我就觉得我这点抖算什么！",0
老天爷疫情快点好起来 快点过年 快点面试 快点上班 我一天这样日子都过不下去了 好焦虑啊啊啊啊啊啊啊 恶性循环 我九点说就睡着了 把自己胳膊压麻了 感觉自己少了一个胳膊 然后醒了持续因为备考焦虑🙏我明天算一卦 ​,1
掉进焦虑爬不出来怎么办 ​,1
🎬仲夏的凉风吹走炎热的焦虑 2宜宾 ​,0
最后 105天了⛽️p1-3 这几天的聊天记录 第三张是冬柏 一个相识非常有缘的朋友 她给我支了很多方法和经验 挺谢谢的p4 是今天的日记 请 全力以赴吧！p5 今天网易的评论p6 感谢发小 愿意一步一步的辅导我数学 从今开始 拿下它吧看得出来 我的心态也发生了变化 复读这个念头 是彻彻底底的打消了 一点都不去想也不渴望登高 或许也是 越来越现实了吧……从以为自己能行到任天由命 怎么说 这种感觉挺真实的 也挺…不知如何表达今天的日记写了很多 关于这段时间的感受 所有的不满所有的烦躁 可能最后到了这个阶段 大家都会像我一样吧 焦虑不安、烦躁、敏感、脆弱……更何况还有因疫情而无法正常上学的这个催化剂 使得本来就烦躁的心情又多添了几重   大家会不会也和我一样害怕 我本身 就是一个懦弱的人啊 旁人的那些关乎自身关乎未来的只言片语变得尖锐 好像自己下一秒就会爆发 也好像下一秒就会掉入万丈深渊 压抑的情绪不知如何表达我以为在学校 周围的压力才会导致变得那么脆弱敏感 没想到在家里 这种压抑只会覆盖得越来越严重 以为自己很坚强 实际根本不堪一击 只是很要强罢了不管怎么样 再熬熬 再等等 最后三个月了求求你 全力以赴吧 收起d,1
外面好吵啊,0
我从小就晕车，但症状就是想吐而已，但高考完那时候回家路上坐在后座有点喘不上气，我还以为只是晕车而已，结果开始坐立不安，手脚发麻，甚至手自动抽筋成鸡爪的样子，然后感觉不到手和脚，样子看起来就像中风，去查过神经没问题，难道晕车也能导致我躯体化吗，抽筋成中风的样子是因为我太焦虑了吗,2
@UNINE_李振宁     从去年4月喜欢上你，生活就变得很不一样，我变得更外向也更看得开，很喜欢追星的日子，但是人生已经到了重要的时刻，今年12月就要考研了，一直在家学习本就很难，再加上我的拖延症，复习一直提不上日程，让我最近很焦虑，所以狠下心想关闭微博。    我就短短的离开一下下哦。    希望这段时间你可以继续做自己喜欢的事，有很多工作可以做，有喜欢的歌随便唱，有想尝试的舞台尽兴表达。    我也会很努力很努力去追自己的梦想，拼尽全力变成更好的自己，那时我一定要去见你。告诉你，我成了更好的自己，我回来了。    照顾好自己，好好吃饭，好好睡觉，身体健康，这是最重要的。    爱你。 收起d,1
 躺着躺着感受不到心跳了 手表心率大概六十多七十多 这是早搏吗,0
明天又是星期一了，好烦，找工作好烦，找不到好烦，不知道怎么找好烦，什么都好烦。,1
总觉得浑身难受像自己得了癌症一样。,0
 大姨妈来十天了还没干净,0
 我刚刚在想真想回到两年前舒服的身体状态，不知道自己有多开心，又突然一想当时身体很舒服但也并不开心，总是闷闷不乐。求求了身体健康,0
#雪纳瑞主人的同款焦虑# 美容院再不开门，狗子都变成老头儿了#条件不允许我宅# ​,0
白天时还安慰自己说没事～晚上搜索好多相关信息  就又开始焦虑了～白天时自己还好好的～觉得已经未来超级棒～今天把情况跟妈妈说了说～妈妈很不高兴的样子～虽然没骂我～晚上又查事业单位又查公务员又查考研～觉得自己有点乱投医～我还是想开点吧～活一天算一天吧～看开点吧～也不是焦虑就能解决的事～放轻松吧 收起d,1
 有没有睡不着的,0
"
每天都心悸 身体跟着心跳一起颤抖，前一段时间尿频 每天晚上都起夜，最近耳石症又犯了复位完三天了后遗症就是头还是晕（但不是天旋地转的晕）三个buff叠一起搞得我这两天每天晚上睡眠质量都很差，状态也很不好[苦澀][苦澀][苦澀][苦澀] 每天都焦虑自己的病什么时候能好",2
"
假如父母朋友都不关心你，自己一个人可以熬过去吗？我现在感觉痛苦的恨不得现在就嘎了算了",0
"

不怕死才能活的好
可是我做不到呀",0
感觉这个病毁了我所有的自尊，我不能激动，不能哭，不能发泄，不能反抗，只能憋下所有的不甘心，接受别人的各种安排，不能反驳，需要钱治病，只能对上司低头，人家让我当牛做马也得当，还不能回家哭一场，因为哭只会让躯体症状加重。只能憋着。,0
俺有好多叨叨叨叨叨的废话 想发好多朋友圈 可还是算了来微博吧 我做不出题 我网课没看完 我焦虑我寻思再整个微博号 今天吃面条想起了我摔碎的酱 今天要不要重新买呢我废话好多喔 是不是会招人烦 我有期待嘛 好像有好像没有“我知道我们不合适，可是我舍不得。” ​,1
 这号数蛮好的,0
焦虑啊焦虑 ​,1
当焦虑的情绪淹没了我 ​,1
 测了几次mbti测试我都是isfp-a和t之间转换，这个人格很容易敏感脆弱玻璃心，怪不得我会抑郁焦虑,1
胸闷气短喘不过气，手脚发麻，心悸当时感觉自己快不行了，去医院检查心脏没问题肺部也没问题，我这个情况是不是啊,2
有点累有点焦虑就一点点吧。 ​,1
跑步焦虑症伍佰的歌加持夜跑，晚风很不错。,0
 不行 还是得治 这真的影响我学习,0
真的就是人没有不焦虑的时候…没工作的时候天天愁以后会不会变成乞丐去要饭，好不容易升职了想绿卡什么时候下来，结果今天看到包裹要退回了然后看着房价好的都特么买不起，做人真难 ​,1
上班上的我头昏脑涨的，被迫延迟下班的一天，难受╯﹏╰,0
做题做着做着3个小时就过去了... 真 有效排忧缓解焦虑😤 ​,0
看小红书真焦虑md有钱人真多 ​,1
 有没有朋友吃一颗半帕罗西汀的，狂出汗正常吗？,2
怎么样才能回家，不喜欢学校，非常讨厌学校,0
很想睡 但是一闭上眼就开始慌,0
 社交焦虑是我一辈子的痛、、、,1
突然发现身边的人都好有斗志……都说摆烂，原来真正在烂的只有自己。就好像从前体测，都说自己会不及格，结果最后只有我真的不及格。,0
 昨晚凌晨2点开始左胸左侧那边又开始痛了一直到现在不是很强烈只能感觉到痛不舒服但已经对我足够了本来已经好几个月没痛了，又到了学校后发作真的要疯了我就不能好好上个学吗一直害怕那个害怕呢个，这些情况只能一个人消化了,1
刚做家务就突如其来头晕眼黑心跳快。以为要嘎啦。躺下休息一会。这一会还在不舒服中。怕死的厉害,3
🤔我原本焦虑不安的事，在之后的互动里发现是我多虑了。❤️18个半月的帅帅有了观察力，也初步形成因果联系概念。观察一些事物都是目不转睛的。比如：看100℃的水在水壶里沸腾着冒着泡；奶瓶喝奶，故意把喝到嘴里的奶再呼出来，看奶瓶里越来越多的泡泡，玩心萌生。把我的化妆盒转了一圈又一圈，或快或慢，笑得乐呵呵。他动则它动，他快则它快，他慢则它慢，这是因果联系。——2020年1月7日 收起d,0
有没有高中目前休学或者长时间请假的 咱建个小群几个人报团取暖一下吧,0
 最近把帕罗西汀加回到一颗之后躯体症状基本没有了，心情很好，甚至可能有点过度亢奋，身体一直觉得很躁动，想出门，想和朋友们接触贴贴哈哈，总是希望得到关注夸奖认可，购物欲也一直很高。总之就是分享一下最近的实况。,2
又因为各种莫名其妙的原因陷入身材焦虑的怪圈...说真的！女孩们自己喜欢什么样就让自己做什么样的女生就好！还有健康快乐最重要！ ​,1
大家有没有感觉说话累，气短，就像气虚一样？不想说话，一说就累,0
#汀雪落下的声音# 考前焦虑 ​,1
复工第一天，忙，焦虑，晚上吃了火锅串串....... ​,1
我26岁的时候确实有点婚姻焦虑。当时也不是渴婚，就是觉得过了26被人挑了，十分被动，类似于拿不到大厂offer只能去小公司当社畜，拿不到top 10只能去双非一本一样。后来我发现这种好学生焦虑挺操蛋的。它包括但不仅限于，为什么我这么优秀但他不懂珍惜，为什么我这么尽力但依然有人不喜欢我。人呐，尤其受咱这种好学生乖乖女教育长大的姑娘，最欠缺的就是流氓气质，是 “草泥马老子不在乎”的魄力。再往下推一点，人这一辈子总不能啥都占。 收起d,0
每天都感觉很焦虑 ​,1
 你们有那种熬夜很晚的时候就会感到不舒服吗？第二天没睡好也会感到很不舒服,0
神经一直紧张放松不下来怎么办啊,1
好想睡觉啊。啊啊啊啊啊啊啊啊啊啊啊。睡不着。马上又天亮了。又得一天的工作，我快扛不住了。谁能救救我。,0
"
真的太崩溃了，班主任让我们每天轮流单独上讲台唱歌，我真的。。站在上面好几次都开不了口，差点给我整哭了，整个人都在抖，天杀的。。",1
"这两天惊恐犯了，浑浑噩噩难受了两天，虽然很难受，不过我一直在暗示自己，没关系的不用担心不用害怕这情况，告诉自己就算复发也没关系这是正常表现能熬过去不会死的，顶多就是进医院。
看了b站关于焦虑抑郁的视频讲解之后好了一点，冥想真的很有用。
手里有医生开的奥沙西泮，实在扛不住就吃一片，一切都会好的，没事的。",2
 又开始害怕了，过几天好日子，然后就开始焦虑，恐慌……能不能停止,2
上星期眩晕症犯，接着头疼，现在这几天血压高，呕吐，颈椎沉累，不知是焦虑还是颈椎导致，外出不真实感看东西也是，似晕不晕，更焦了，睡不好心悸尿频,2
转眼间十六年了，时间过得真快。往年老早我就会碎碎念着要礼物🎁今年竟然没有一点想法每天活在憧憬和企盼中。每天都打不起精神做任何事情初三太折磨人了，比我自己中考都焦虑晚上儿子给我说别人都去露营了，他也想去，好羡慕。我开导他“我们四个人要患难与共，有失有得。你没有露营⛺️你有姐姐啊，姐姐无条件的疼爱你，你要什么姐姐都偷偷买给你，你也要陪姐姐一起走过这个夏天，这个最重要的时刻”回家小娃告诉我，他心里舒服了，不难受了。摸着懂事的小朋友我有什么可惧的呢？ 收起d,0
要命情绪有点波动就吐的不成人样现在手真的特别抖,0
 头好疼,0
我现在看豆瓣的MDHZ组的帖子会很焦虑 ​,1
为什么感觉心脏偶尔震颤一下 是正常的吗,1
焦虑症退学了，哈哈,3
肖战#肖战那英合唱心动#xz#肖战我们的歌#——♡⃛ Lᵒᵛᵉ💋ᵧₒᵤ ♡⃛——什么时候最重要，当下的这一刻最重要，你为了未来去焦虑，你为了过去去后悔，都不如你此时此刻做好当下。xz@X玖少年团肖战DAYTOY 心动的瞬间 ​,0
困在焦虑症里了 ​,1
#快乐再出发# 因为最近心情不好，状态不好，身体也没好利索，放假天天摸鱼又焦虑所以需要找点乐子。倍速刷了三四期，很搞笑，羡慕他们的友谊，迷茫十五年后的自己，除此之外我没有任何感触，因为我在快男时代中走岔了路，他们每一个人我都不了解，我对他们当年的轰轰烈烈一无所知。我要快点振作，再不振作就过年了，开学了，组会了 收起d,1
"
要去看一看自己心理问题的话应该去看精神科吗",0
最近要迎接新的战役，本早早睡的，这个点被啊呜喊我的声音吵醒了…焦虑感满满，简直不敢面对半年后的生活… ​,1
因为一直给自己一个心理暗示说12点不要照镜子，给自己一个心理压力，就觉得照镜子了就会发生不好的事情，然后今天早上0点我就因为洗脸时看了一眼镜子就开始胡思乱想了，又开始给自己压力了，害怕不好的事情发生，这种感觉好难受啊,1
总感觉人在精神疾病面前是很渺小的，一次又一次，马上快要走到岸边，却又被潮水卷到深处，真的，再也再也不想回到那种暗无天日的日子里去了走出抑郁症焦虑症,0
刚刚紧张得呼吸停止了点提交结果查询无结果一会儿24一会20一会半夜说可以查了真的太难了直接整焦虑了球球了今年就把我所有的好运气全放在这件事上吧我太想上岸了球球了 ​,1
北京精神科杜万君的微博直播,0
 这个热搜是写给我看的吗,0
 最近一直在暴饮暴食，之前一般都是一天吃一顿或者两顿，现在高达一天四顿甚至半夜都会爬起来点个外卖吃了再睡，突然这样好害怕，,1
想事情的时候就胃疼 不想就没事 需要吃药吗,0
"
家人们吃药真的会好吗？我开始吃药了来着真的好绝望啊啊",0
你们会不会老担心听错电话内容，看错短信消息啊……每次接完电话，就开始怀疑自己听到的是不是电话的内容，看完短信，就开始怀疑自己会不会理解错短信意思……,0
真的又颓又想努力……处于交界状态焦虑又无效的徘徊着 2太原 ​,1
 换药了，有没有人吃这两个，便宜出,0
焦虑不会停止  但成长会带来救赎 ​,0
 停药又复吃 现在头晕 管他呢 放弃治疗 不吃了 晕吧 看能咋办 我也没辙 随便😐,0
心无挂碍，是一种至高的生活方式。在生命的漂泊中，只有不念过去，放下苦乐束缚才能活得简单自在、优雅从容。心无挂碍，是一种超然的大境界。在不安的世界里，只有放下执念，抛开焦虑烦恼。才能让内心回归平和，活出人生的最好时节。——林清玄《心无挂碍 无有恐惧》 ​,0
三个多小时，整晚不眠，干呕烦躁,0
每天都在焦虑和自我开导中反复横跳 ​,1
"这两天又出现那种濒死感了
我好害怕
我真好想握住一些东西把我救出来
我害怕，我真的害怕。",1
去医院检查抑郁需要多少费用,0
睡前，把地拖了，收拾了一下沙发这个主要窝聚的场所。每天醒来第一件事看有几例新增病例，每天刷的最多的是小区群，看哪里有了新消息，把这些消息或者好玩的事分享给自己的朋友们，让他们注意或乐一下。这有错吗？一个一直沉浸在自己手机里的人认为我在分享我的焦虑。我和我的朋友们都很适应这样的交流模式。好吧，我以后不和你分享了，你就在自己的世界里傲娇地打挺吧，不接触社会现实，固守自己的观念。病毒很可怕，队友更重要。不到痛的时候是永远不知道自己不对。明天我希望自己能够按时洗漱，多喝水，做运动，快速办公，少玩手机，不生气。在为祖国做贡献的时候做点有意义的事儿。 收起d,0
不断干呕不断干呕焦虑症,0
有时候在想，既然每个人最终都要死，为啥还要来到这个世界上？读书，考试，加班，挣钱，辛辛苦苦最终都要变成粉末装进小盒子。,0
两年多以来第一次焦虑到生理期紊乱我已经这么不耐烦了，还没来？ ​,1
 我真的一点也不想生病,0
 朋友们，望解惑：第一次吃帕罗西汀，7点左右吃的，半颗，洗完澡出来头晕乏力，是副作用吗？,2
困,0
一直不知道怎么形容最近出现的新症状，刚才百度的时候发现比较贴切的那就是半梦半醒之间会突然猛地缩一下脖子，我感觉头和身体都对折了一下，伴随着脑子里轰的一声响，每次都这样，不知道是不是得了癫痫了请问有我这样的UU吗？感觉按不住想跑医院的心了,1
昨天四点早醒了一次 做的什么梦也忘了 一觉起来背后刺痛的很 我明明没干什么活,0
